"","ASV4","ASV6","ASV7","ASV9","ASV13","ASV23","ASV29","ASV32","ASV35","ASV41","ASV55","ASV57","ASV59","ASV75","ASV80","ASV87","ASV90","ASV94","ASV95","ASV96","ASV100","ASV104","ASV111","ASV117","ASV118","ASV122","ASV129","ASV136","ASV142","ASV147","ASV154","ASV157","ASV158","ASV161","ASV166","ASV167","ASV180","ASV188","ASV190","ASV191","ASV201","ASV211","ASV219","ASV227","ASV230","ASV231","ASV236","ASV237","ASV238","ASV245","ASV252","ASV258","ASV265","ASV271","ASV275","ASV297","ASV324","ASV328","ASV332","ASV348","ASV353","ASV381","ASV384","ASV390","ASV397","ASV400","ASV409","ASV410","ASV423","ASV429","ASV431","ASV432","ASV438","ASV450","ASV453","ASV461","ASV478","ASV511","ASV516","ASV534","ASV547","ASV553","ASV585","ASV591","ASV596","ASV597","ASV606","ASV613","ASV622","ASV630","ASV653","ASV665","ASV674","ASV682","ASV711","ASV723","ASV732","ASV745","ASV752","ASV774","ASV777","ASV790","ASV803","ASV816","ASV820","ASV827","ASV849","ASV852","ASV860","ASV914","ASV934","ASV936","ASV942","ASV953","ASV987","ASV997","ASV998","ASV999","ASV1032","ASV1063","ASV1066","ASV1074","ASV1076","ASV1077","ASV1081","ASV1093","ASV1104","ASV1119","ASV1121","ASV1126","ASV1131","ASV1133","ASV1148","ASV1169","ASV1180","ASV1191","ASV1193","ASV1211","ASV1221","ASV1224","ASV1226","ASV1234","ASV1251","ASV1264","ASV1265","ASV1270","ASV1272","ASV1287","ASV1293","ASV1301","ASV1325","ASV1338","ASV1346","ASV1352","ASV1360","ASV1400","ASV1411","ASV1419","ASV1428","ASV1439","ASV1464","ASV1490","ASV1509","ASV1532","ASV1538","ASV1546","ASV1548","ASV1568","ASV1584","ASV1592","ASV1596","ASV1649","ASV1666","ASV1685","ASV1688","ASV1713","ASV1727","ASV1735","ASV1741","ASV1752","ASV1757","ASV1758","ASV1766","ASV1767"
"T10-1-S",0,594,0,433,257,0,214,163,176,0,0,0,0,0,415,0,0,0,0,0,293,0,38,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,79,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,147,0,45,0,0,68,0,0,84,0,0,61,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,97,153,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T10-2-S",0,69,0,92,0,0,202,0,146,0,0,0,133,0,312,85,0,94,0,45,263,159,0,471,94,0,0,31,0,111,0,0,0,0,148,92,359,0,228,120,64,0,0,69,0,0,0,80,101,0,0,140,188,180,0,0,191,0,0,0,115,61,0,117,0,199,172,99,0,0,263,0,0,65,0,64,0,47,0,35,138,139,0,0,0,87,102,74,0,0,0,0,0,0,34,65,0,0,0,0,0,58,0,0,226,0,0,0,0,0,0,0,0,32,15,97,15,0,0,0,75,0,0,0,0,0,0,0,65,29,0,0,168,139,0,0,72,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,33,0,31,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,99,0
"T11-1-S",122,304,0,199,179,0,373,187,96,0,0,84,267,141,601,0,0,0,0,0,492,103,0,107,109,0,0,48,234,0,0,0,0,0,156,0,0,459,54,99,0,0,0,114,0,0,202,79,0,0,0,171,0,0,116,0,181,0,0,0,0,90,387,93,0,0,0,0,0,0,77,0,124,0,0,0,0,64,0,379,41,0,0,0,98,0,0,0,0,0,342,52,0,0,0,0,0,0,0,84,118,0,0,0,0,0,0,0,162,0,0,0,207,0,124,17,0,76,0,0,0,0,211,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,122,0,149,14,0,0,110,20,0,0,0,0,0,0
"T11-2-S",78,186,90,134,214,52,197,190,168,45,0,134,174,0,474,0,34,0,0,128,390,45,0,182,135,0,52,0,173,37,30,0,145,77,153,0,162,114,198,0,0,0,67,108,53,0,132,126,33,33,98,134,147,63,121,100,162,0,0,16,39,46,89,121,0,0,119,0,28,0,49,116,98,46,0,106,0,40,0,0,0,0,0,74,43,37,95,0,0,107,24,84,76,36,51,0,36,19,103,0,59,0,0,93,0,65,0,0,0,0,0,22,0,36,47,0,0,0,0,0,0,0,0,44,0,13,0,0,83,0,61,0,120,0,56,73,104,0,0,0,0,0,0,7,0,0,0,56,0,0,0,0,0,0,0,0,0,11,0,0,74,0,0,0,0,0,0,0,0,38,0,0,20,17,0,42,0,0,27,0,0,0,0,0
"T12-1-S",0,0,0,172,0,0,0,0,0,0,0,0,101,0,286,0,0,0,108,178,249,62,0,89,0,0,0,0,0,0,0,71,166,141,130,0,0,0,91,58,0,0,0,0,0,0,0,0,60,0,0,0,0,0,107,0,115,0,0,98,0,44,86,0,128,0,89,0,0,0,0,0,33,127,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,36,55,0,26,0,0,0,0,0,34,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,72,37,0,16,63,0,0,38,0,0,73,222,143,0,0,0,0,0,0,0,0,0,0,0,0,20,24,182,0,0,0,0,0,0,0,0,0,0,0,0,0,70,78,0,0,143,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,2,73,0,0
"T12-2-S",0,651,0,755,168,0,248,0,37,200,0,0,216,0,218,0,0,0,0,73,158,0,0,0,0,0,0,0,0,158,58,0,0,0,166,0,137,162,370,0,0,0,0,0,0,0,0,0,139,0,0,23,252,0,0,0,0,0,0,195,0,220,0,0,0,0,60,65,0,0,0,0,0,139,0,64,0,0,139,133,0,0,0,0,0,0,35,92,79,0,0,44,15,108,0,0,118,0,0,0,15,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,807,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,44,0,0,0,164,175,114,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,92,0,0,0,0,0,0,0
"T14-1-S",40,107,0,0,0,0,99,0,43,0,0,0,0,83,192,59,0,0,0,21,158,111,0,93,0,0,0,125,295,38,178,0,21,0,35,24,41,22,0,0,54,114,0,119,0,0,284,29,0,129,0,0,0,0,0,103,78,0,72,62,0,0,0,0,0,0,0,0,21,0,29,0,0,86,84,55,0,0,59,0,0,28,31,0,0,0,30,0,0,0,0,61,0,54,0,0,0,0,0,0,78,0,53,48,0,0,56,0,0,0,0,0,0,0,0,0,84,0,0,0,39,43,0,62,27,0,0,0,0,31,0,0,34,0,0,0,0,0,0,42,0,0,0,25,0,0,48,0,30,0,0,0,0,9,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"T14-2-S",40,438,0,352,162,0,170,136,53,147,23,38,150,18,786,41,125,46,0,18,640,240,22,200,50,0,29,176,626,68,424,0,62,12,78,24,175,31,89,182,0,124,0,357,62,18,500,42,50,353,54,6,71,57,51,264,0,0,401,258,80,52,0,113,51,0,0,31,0,0,14,134,0,21,333,29,196,44,151,179,49,35,84,40,14,53,96,27,8,20,149,36,44,24,27,29,109,118,99,0,73,0,22,8,0,26,0,92,73,80,96,52,20,19,12,0,13,51,61,50,0,15,19,52,0,0,0,20,0,46,0,0,0,51,0,44,0,0,23,37,8,80,0,0,0,0,0,0,70,57,59,15,37,31,0,0,0,0,0,0,0,0,52,0,0,30,0,30,0,56,0,40,0,39,0,0,23,32,0,0,0,0,38,0
"T15-1-S",0,169,0,120,74,0,298,49,0,0,0,0,241,0,601,0,0,25,0,100,516,274,0,114,95,63,0,0,264,131,103,0,0,0,171,0,111,0,0,227,0,0,0,62,0,45,211,0,86,92,0,104,0,0,141,52,209,24,90,95,0,208,0,92,0,0,203,0,0,0,87,0,89,0,68,67,0,182,154,84,0,0,0,0,75,0,0,130,53,65,77,70,28,0,0,38,127,0,0,30,0,89,0,0,0,55,36,0,0,0,46,0,0,0,0,0,51,0,0,68,0,0,0,0,12,6,0,0,0,32,249,127,0,0,0,0,0,108,0,61,0,34,0,0,0,168,0,196,0,0,0,32,47,0,0,0,0,50,0,75,0,55,0,0,0,50,0,0,0,0,0,11,23,0,46,0,0,0,0,0,0,0,0,0
"T15-2-S",64,150,58,128,0,0,94,0,0,0,0,17,60,0,443,34,0,97,0,183,364,99,14,291,317,0,94,34,52,40,0,119,0,204,123,65,237,93,0,78,24,0,0,68,140,74,54,307,42,0,0,111,0,93,106,0,94,0,0,189,24,205,0,182,0,88,90,0,116,0,0,0,102,9,30,177,138,182,0,131,46,0,0,57,0,0,148,88,0,123,140,82,64,0,0,0,0,0,0,120,0,85,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,84,45,57,0,6,68,0,0,129,0,28,0,46,19,0,0,0,0,0,57,0,0,0,0,0,0,0,79,0,0,92,0,0,0,88,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T16-1-S",0,56,0,0,0,0,31,0,0,0,0,0,0,0,127,0,0,0,0,0,130,27,38,0,0,29,0,0,45,0,0,0,0,37,0,79,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,26,0,87,85,0,0,0,0,0,0,0,0,0,24,60,88,0,17,27,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,56,0,0,0,0,0,43,0,0,0,82,0,90,0,62,0,54,0,36,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T16-2-S",53,95,0,0,0,0,144,0,0,0,0,44,104,0,478,50,0,42,75,36,373,252,44,75,0,26,29,67,58,169,0,0,116,0,66,44,56,0,0,196,36,72,0,733,48,0,40,0,134,0,84,43,0,0,50,621,0,0,0,95,0,28,0,125,0,0,17,68,41,0,44,0,28,11,0,135,77,0,82,46,0,0,72,0,0,0,83,0,0,122,35,93,0,0,0,45,66,0,0,57,13,0,300,89,32,82,15,0,47,0,40,0,197,0,13,65,5,0,65,0,85,254,23,0,0,0,0,54,0,0,0,0,0,49,0,103,0,33,52,46,0,39,0,148,14,0,142,0,0,0,34,11,0,40,242,0,99,41,0,0,0,24,41,46,0,62,59,0,191,0,65,0,0,40,55,9,0,0,0,0,0,76,0,0
"T18-1-S",15,118,0,83,51,0,51,46,48,0,0,34,0,0,516,0,0,0,0,25,433,362,41,166,0,0,0,57,227,0,37,87,67,0,119,0,137,88,0,285,0,56,0,415,77,60,191,0,0,36,50,0,0,0,80,343,0,728,104,169,44,168,54,69,34,0,0,0,49,589,0,0,0,62,76,36,127,128,72,62,0,0,0,0,0,38,52,79,80,30,0,0,171,44,107,0,68,54,0,0,39,65,0,0,0,0,0,0,40,0,0,0,45,0,60,0,0,0,0,0,0,0,0,54,0,0,0,0,0,146,0,198,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,24,49,0,0,0,0,0,151,0,0,0,0,0,0,137,0,0,40,0,0,36,0,0,41,26,0,0,0,0,0,0,0
"T18-2-S",73,173,62,147,0,0,38,0,108,0,0,0,0,0,201,0,0,0,0,104,203,0,0,115,0,0,43,0,0,0,0,62,0,77,40,0,0,47,0,0,0,0,0,321,0,43,0,35,0,0,0,73,0,58,0,254,0,0,145,268,58,11,0,70,0,42,0,54,0,0,68,0,0,57,0,143,202,0,74,0,86,0,0,0,27,46,0,0,0,0,0,62,0,0,0,0,49,0,46,0,60,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,89,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,65,36,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"T20-1-S",0,52,0,0,0,105,123,0,0,0,84,57,109,0,585,0,0,158,0,68,497,50,0,127,81,0,122,202,0,154,70,0,79,69,95,0,102,0,171,47,0,152,0,87,41,15,0,84,0,67,84,423,155,96,70,0,0,0,81,13,0,106,0,0,0,108,61,107,31,0,95,0,314,0,67,116,0,78,64,100,0,0,0,75,99,0,0,65,0,102,83,67,109,0,100,0,51,0,0,98,35,0,68,84,81,50,0,42,0,0,82,13,0,87,0,0,0,0,0,0,0,0,0,32,38,51,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T20-2-S",86,252,0,167,0,136,205,0,60,0,85,51,170,0,426,30,0,0,0,0,323,60,0,0,116,0,0,135,180,55,89,0,0,0,316,16,0,0,129,47,0,109,0,0,78,0,120,114,0,0,0,106,122,0,195,0,0,0,122,267,139,137,0,156,0,0,0,25,63,0,122,0,102,0,96,0,212,121,140,58,0,0,0,74,0,0,84,78,0,0,58,0,163,96,123,0,98,0,0,24,0,55,90,0,84,0,0,0,40,83,0,0,0,0,110,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,107,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,69,0,0,0,0,13,0,53,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,68,0
"T23-1-S",160,104,0,69,39,0,116,28,0,0,0,0,116,0,180,0,0,33,0,96,170,51,0,489,58,0,0,0,0,169,0,0,0,0,61,0,355,0,0,54,0,0,0,84,0,0,0,0,121,0,0,172,0,0,0,95,85,0,91,0,0,0,0,0,125,0,0,171,0,0,0,0,0,177,0,162,0,34,0,0,0,61,0,0,0,0,0,102,0,95,0,0,0,147,0,123,0,0,0,0,0,89,0,277,20,100,110,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,206,0,0,0,0,0,0,0,0,0,0,93,0,0,0,50,90,0,0,0,0,0,0,67,0,0,0,0,0,0,0,201,0,0,0,0,0,0,64,0,0,99,0,154
"T23-2-S",81,163,59,115,0,0,104,0,21,0,0,0,84,0,1073,60,0,92,0,180,885,152,0,358,85,0,0,0,217,84,0,0,0,127,82,36,282,0,0,0,0,19,0,0,0,0,200,70,68,0,0,90,0,0,65,0,92,0,15,49,0,101,0,192,0,0,0,0,0,0,54,0,81,47,0,0,55,0,0,0,0,0,0,0,0,0,117,109,0,0,0,0,0,0,120,91,0,0,0,0,0,70,0,91,0,0,0,0,28,190,38,0,0,89,0,0,0,0,0,0,0,0,47,80,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,89,120,0,0,0,0,0,0,0,0,0,0,0,80,98,0,83,0,0,129,0,0,115,0,83,0,0,0,149,0,0,0,0,63,0,118,0,55,0,165,0,0,0,0,94
"T24-1-S",89,262,68,258,0,150,173,0,0,0,88,81,138,0,442,0,0,0,0,183,396,0,78,190,119,0,0,103,77,104,0,0,50,158,178,63,163,0,0,0,0,92,0,252,68,0,79,116,0,0,55,115,0,0,136,189,66,0,106,86,0,131,0,123,0,73,0,31,0,0,0,0,0,0,0,162,76,105,34,0,0,65,54,0,0,0,93,121,0,105,0,99,77,0,124,0,0,0,0,118,0,76,0,28,0,65,0,0,92,67,13,0,0,107,91,0,0,136,0,39,0,0,0,0,0,35,0,0,89,0,0,0,0,0,62,76,0,138,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,107,0,0,0,0,0,0
"T24-2-S",47,101,0,0,0,0,225,0,0,0,0,0,159,248,651,152,0,0,0,95,601,93,93,151,90,131,70,82,0,0,0,124,0,79,202,0,117,0,30,0,82,0,491,176,0,112,0,0,0,0,0,106,0,80,145,126,76,0,34,0,81,0,0,0,0,96,51,0,0,0,46,0,80,120,0,160,0,49,0,0,53,0,138,33,0,60,25,77,0,159,0,91,0,89,51,0,0,0,0,163,0,0,0,0,0,0,48,0,49,0,0,184,0,55,0,65,0,11,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,71,0,0,0,0,0,0,62,0,0,52,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,37
"T7-1-S",0,250,0,163,257,0,0,182,142,0,0,133,0,0,225,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T7-2-S",0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,161,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,110,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T8-1-S",71,0,49,100,0,0,56,0,0,0,0,0,34,0,306,52,0,0,66,54,235,248,0,393,0,49,34,131,143,0,0,0,0,0,99,0,333,0,0,190,0,96,0,20,91,0,0,64,24,0,0,30,0,92,0,0,86,0,0,25,48,93,30,0,98,105,0,116,77,0,126,0,0,0,0,82,0,76,120,0,96,0,0,51,31,0,0,0,0,59,8,84,0,20,0,88,0,0,0,0,0,70,40,0,94,57,0,4,85,0,80,0,0,55,0,0,30,0,0,0,0,38,21,0,211,0,0,112,0,0,0,0,0,95,0,0,0,0,0,0,57,0,0,0,286,0,14,0,0,104,0,65,0,40,0,0,0,0,13,0,47,0,0,0,303,0,0,0,0,0,0,0,0,72,0,0,0,0,0,257,254,0,0,0
"T8-2-S",76,11,0,0,0,0,0,0,0,0,0,45,0,0,226,0,0,0,0,0,202,129,0,146,41,0,0,0,0,0,92,0,0,0,61,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,62,204,67,0,61,0,0,165,0,0,0,0,106,0,0,0,59,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,83,17,0,48,0,0,0,0,0,0,44,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,133,0,0,0,124,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
