,Tank,Treatment,Age,Family,ASV4,ASV6,ASV7,ASV9,ASV13,ASV23,ASV29,ASV32,ASV35,ASV41,ASV57,ASV59,ASV75,ASV80,ASV87,ASV90,ASV94,ASV96,ASV100,ASV104,ASV111,ASV117,ASV118,ASV129,ASV136,ASV142,ASV147,ASV154,ASV157,ASV158,ASV161,ASV166,ASV167,ASV180,ASV188,ASV190,ASV191,ASV211,ASV219,ASV227,ASV230,ASV231,ASV236,ASV237,ASV238,ASV245,ASV252,ASV258,ASV265,ASV271,ASV275,ASV297,ASV324,ASV328,ASV332,ASV348,ASV353,ASV381,ASV384,ASV390,ASV397,ASV400,ASV409,ASV410,ASV423,ASV429,ASV431,ASV432,ASV438,ASV450,ASV453,ASV461,ASV478,ASV511,ASV516,ASV534,ASV547,ASV585,ASV591,ASV596,ASV597,ASV606,ASV613,ASV630,ASV653,ASV665,ASV674,ASV682,ASV711,ASV723,ASV732,ASV745,ASV752,ASV774,ASV777,ASV790,ASV803,ASV816,ASV820,ASV827,ASV849,ASV860,ASV914,ASV934,ASV942,ASV953,ASV987,ASV1032,ASV1066,ASV1074,ASV1077,ASV1104,ASV1119,ASV1121,ASV1126,ASV1131,ASV1133,ASV1148,ASV1169,ASV1191,ASV1211,ASV1221,ASV1224,ASV1226,ASV1234,ASV1251,ASV1264,ASV1265,ASV1270,ASV1287,ASV1293,ASV1325,ASV1338,ASV1352,ASV1360,ASV1400,ASV1411,ASV1419,ASV1428,ASV1439,ASV1464
T10-1-S,10,Control,Spat,4,0,542,0,370,218,0,156,120,145,0,0,0,0,346,0,0,0,0,285,0,35,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,66,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,123,0,38,0,0,64,0,0,70,0,60,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,88,131,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10-2-S,10,Control,Spat,4,0,30,0,57,0,0,98,0,66,0,0,57,0,124,42,0,43,20,105,78,0,225,51,0,19,0,55,0,0,0,0,74,45,169,0,106,46,0,0,44,0,0,0,36,51,0,0,78,92,88,0,0,87,0,0,0,59,27,0,46,0,97,70,35,0,0,112,0,0,34,0,28,0,28,0,19,51,0,0,0,34,40,38,0,0,0,0,0,15,37,0,0,0,0,0,34,0,0,120,0,0,0,0,0,0,14,6,0,38,0,0,0,0,33,17,0,0,86,62,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,25,0,12,0,0,37
T11-1-S,11,Probiotics,Spat,1,47,118,0,91,76,0,135,65,35,0,39,114,54,252,0,0,0,0,188,46,0,47,47,0,22,93,0,0,0,0,0,68,0,0,186,25,44,0,0,43,0,0,74,30,0,0,0,76,0,0,49,0,67,0,0,0,0,36,143,40,0,0,0,0,0,0,28,0,47,0,0,0,0,27,0,200,19,0,0,45,0,0,0,0,148,24,0,0,0,0,0,0,0,25,37,0,0,0,0,0,0,55,0,0,76,0,52,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,79,0,0
T11-2-S,11,Probiotics,Spat,1,29,78,27,54,98,26,84,66,55,21,48,74,0,190,0,17,0,49,167,16,0,92,45,21,0,74,9,13,0,45,28,71,0,71,53,78,0,0,19,38,19,0,62,54,9,11,38,58,66,24,37,46,60,0,0,11,14,27,33,44,0,0,52,0,18,0,17,48,39,27,0,38,0,18,0,0,0,0,30,14,19,41,0,46,5,28,32,20,21,0,9,7,48,0,33,0,0,44,0,24,0,0,0,0,0,11,20,0,0,0,20,0,0,26,0,24,0,51,0,20,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,5,0,0,32
T12-1-S,12,Probiotics,Spat,2,0,0,0,152,0,0,0,0,0,0,0,83,0,237,0,0,0,146,211,52,0,82,0,0,0,0,0,0,58,136,122,129,0,0,0,89,59,0,0,0,0,0,0,0,42,0,0,0,0,0,85,0,105,0,0,89,0,41,68,0,110,0,68,0,0,0,0,0,25,110,0,0,0,0,0,0,0,0,59,0,0,0,0,35,42,0,24,0,0,0,0,0,23,0,0,0,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,178,119,0,0,0,0,0,0,0,0,0,0,13,23,176,0,0,0,0,0,0,0,0,0,0,65,72,0,0,123
T12-2-S,12,Probiotics,Spat,2,0,251,0,339,73,0,104,0,10,80,0,92,0,92,0,0,0,34,65,0,0,0,0,0,0,0,56,28,0,0,0,64,0,61,73,141,0,0,0,0,0,0,0,0,56,0,0,11,111,0,0,0,0,0,0,101,0,81,0,0,0,0,15,34,0,0,0,0,0,64,0,32,0,0,51,56,0,0,0,0,0,21,43,0,0,15,5,52,0,0,35,0,0,0,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,9,0,0,0,0,0,0,0,297,0,0,0,0,0,0,15,0,0,72,81,41,0,0,33
T14-1-S,14,Probiotics,Spat,4,36,98,0,0,0,0,57,0,35,0,0,0,79,156,54,0,0,22,123,77,0,70,0,0,120,250,29,153,0,20,0,30,20,38,18,0,0,102,0,107,0,0,255,14,0,126,0,0,0,0,0,104,75,0,55,40,0,0,0,0,0,0,0,0,15,0,26,0,0,85,66,54,0,0,46,0,0,19,0,0,0,37,0,0,0,46,0,50,0,0,0,0,0,0,66,0,47,42,0,0,49,0,0,0,0,0,0,0,37,44,59,0,0,0,29,0,0,26,0,0,0,0,30,0,0,0,22,0,0,0,21,0,0,2,0,0,0,0,0,0,0
T14-2-S,14,Probiotics,Spat,4,9,133,0,95,40,0,46,34,15,38,13,43,4,201,12,30,18,5,186,66,6,48,14,7,52,177,15,123,0,20,4,19,7,49,5,26,41,28,0,105,14,6,145,12,7,101,14,2,27,20,16,57,0,0,119,78,28,12,0,16,16,0,0,7,0,0,2,32,0,8,88,4,71,9,39,44,9,22,15,2,19,25,15,4,42,11,8,9,3,4,25,31,26,0,11,0,4,4,0,11,0,21,18,29,6,8,3,22,0,4,8,0,3,0,18,0,0,0,11,12,0,6,15,3,17,0,0,0,0,0,18,19,3,9,0,0,0,0,0,0,0
T15-1-S,15,Killed Probiotics,Spat,1,0,72,0,56,35,0,130,18,0,0,0,96,0,228,0,0,10,31,196,112,0,62,44,0,0,107,59,44,0,0,0,64,0,54,0,0,99,0,0,15,0,17,79,0,25,40,0,46,0,0,52,20,89,12,44,35,0,78,0,39,0,0,91,0,0,0,34,0,33,0,39,33,0,66,68,25,0,0,0,16,0,0,47,26,30,24,10,0,0,17,51,0,0,12,0,41,0,0,0,20,17,0,0,22,0,0,0,0,0,0,0,0,0,0,14,120,35,0,0,0,38,0,24,0,12,0,0,0,65,84,0,0,12,0,0,0,0,17,0,30,0
T15-2-S,15,Killed Probiotics,Spat,1,26,68,24,47,0,0,38,0,0,0,9,27,0,178,10,0,52,72,149,41,9,124,142,35,10,16,16,0,45,0,73,46,26,118,32,0,27,0,0,32,60,30,22,119,21,0,0,58,0,39,30,0,33,0,0,75,7,78,0,75,0,46,57,0,44,0,0,0,44,7,13,79,56,76,0,52,22,0,22,0,0,58,44,54,52,34,31,0,0,0,0,0,0,44,0,34,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,16,0,2,19,0,0,16,0,23,10,0,0,0,0,28,0,0,0,0,0,35,0,0,45,0,0
T16-2-S,16,Killed Probiotics,Spat,2,17,32,0,0,0,0,57,0,0,0,28,58,0,192,22,0,10,11,153,109,21,28,0,9,35,23,72,0,0,54,0,31,21,19,0,0,78,30,0,311,25,0,22,0,45,0,33,20,0,0,21,227,0,0,0,33,0,13,0,63,0,0,9,36,13,0,11,0,11,5,0,65,30,0,32,13,0,21,0,0,0,43,0,44,14,43,0,0,0,15,32,0,0,23,6,0,119,38,15,37,9,15,0,12,86,0,1,30,34,103,0,0,26,0,0,0,0,0,21,41,12,23,17,0,14,0,57,7,0,0,0,9,6,9,82,0,52,17,0,0,0
T18-1-S,18,Killed Probiotics,Spat,4,8,46,0,41,18,0,15,11,19,0,11,0,0,209,0,0,0,11,156,135,15,73,0,0,20,98,0,14,46,15,0,44,0,43,33,0,90,23,0,161,46,19,76,0,0,7,24,0,0,0,32,140,0,245,38,69,22,57,20,27,18,0,0,0,21,252,0,0,0,20,23,14,43,57,23,21,0,0,0,0,11,16,33,8,0,0,71,8,39,0,25,24,0,0,9,26,0,0,0,0,0,11,0,0,15,0,30,0,0,0,19,0,0,0,68,0,102,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,0,55,0
T18-2-S,18,Killed Probiotics,Spat,4,63,129,47,111,0,0,33,0,78,0,0,0,0,125,0,0,0,81,140,0,0,104,0,31,0,0,0,0,50,0,63,31,0,0,30,0,0,0,0,251,0,30,0,20,0,0,0,55,0,44,0,170,0,0,105,210,47,7,0,49,0,35,0,43,0,0,64,0,0,49,0,98,156,0,46,0,62,0,0,35,36,0,0,0,0,45,0,0,0,0,31,0,44,0,57,0,0,0,0,0,0,0,61,0,0,0,0,61,50,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,54,27,0,79,0,0,0,0,0,0,0,0,0,0
T20-1-S,20,Continuous Probiotics,Spat,4,0,14,0,0,0,65,65,0,0,0,20,46,0,281,0,0,70,28,223,24,0,60,41,51,93,0,67,29,0,30,25,37,0,54,0,81,24,76,0,50,14,11,0,33,0,27,45,201,67,35,41,0,0,0,38,7,0,50,0,0,0,42,26,58,11,0,47,0,113,0,30,55,0,38,19,53,0,0,32,48,0,0,27,52,29,32,56,0,37,0,20,0,0,60,14,0,29,36,39,29,0,0,0,39,0,41,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0
T20-2-S,20,Continuous Probiotics,Spat,4,43,114,0,52,0,65,65,0,24,0,25,69,0,194,14,0,0,0,136,31,0,0,56,0,52,82,28,45,0,0,0,143,10,0,0,56,23,41,0,0,42,0,59,51,0,0,0,48,54,0,99,0,0,0,51,132,49,54,0,64,0,0,0,17,21,0,82,0,48,0,35,0,102,53,69,29,0,0,36,0,0,44,36,0,25,0,74,43,41,0,60,0,0,11,0,23,25,0,35,0,0,17,40,0,0,0,41,0,0,0,36,0,0,0,0,0,0,59,0,0,0,35,0,0,0,0,0,0,0,0,31,0,0,3,0,12,0,27,0,0,0
T23-1-S,23,James,Spat,,108,66,0,41,21,0,76,12,0,0,0,55,0,101,0,0,25,65,87,21,0,325,30,0,0,0,104,0,0,0,0,41,0,219,0,0,39,0,0,39,0,0,0,0,73,0,0,97,0,0,0,45,48,0,52,0,0,0,0,0,78,0,0,87,0,0,0,0,0,109,0,101,0,21,0,0,0,0,0,0,0,0,61,61,0,0,0,94,0,60,0,0,0,0,0,60,0,156,9,65,68,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,80,0,113,0,0,0,0,0,0,0,0,55,0,0,23,65,0,0,0,0
T23-2-S,23,James,Spat,,41,79,32,62,0,0,53,0,17,0,0,41,0,490,26,0,32,65,415,78,0,178,44,0,0,96,37,0,0,0,64,41,16,113,0,0,0,8,0,0,0,0,92,28,35,0,0,44,0,0,29,0,48,0,8,25,0,44,0,102,0,0,0,0,0,0,20,0,37,21,0,0,31,0,0,0,0,0,0,0,0,53,42,0,0,0,0,0,57,41,0,0,0,0,0,28,0,42,0,0,0,22,81,20,0,37,0,0,0,0,38,0,0,0,0,0,0,0,0,0,8,0,35,53,0,0,0,0,0,0,0,0,0,44,0,33,0,0,55,0,0
T24-1-S,24,James,Spat,,36,128,31,103,0,61,83,0,0,0,35,58,0,190,0,0,0,79,206,0,27,78,49,0,51,35,42,0,0,35,64,86,31,68,0,0,0,44,0,108,27,0,28,54,0,0,23,53,0,0,46,85,28,0,48,39,0,56,0,51,0,38,0,19,0,0,0,0,0,0,0,74,40,46,26,0,0,29,0,0,0,40,51,35,0,48,34,0,50,0,0,0,0,53,0,41,0,18,0,33,0,46,27,4,0,39,41,0,0,0,0,0,0,42,0,0,0,0,0,33,47,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,8,0,3,0
T24-2-S,24,James,Spat,,20,51,0,0,0,0,111,0,0,0,0,76,118,293,77,0,0,53,290,42,44,92,50,41,38,0,0,0,55,0,25,91,0,64,0,17,0,0,233,79,0,57,0,0,0,0,0,47,0,33,78,59,32,0,11,0,37,0,0,0,0,52,29,0,0,0,21,0,43,48,0,65,0,25,0,0,27,51,16,0,31,8,37,70,0,40,0,36,34,0,0,0,0,73,0,0,0,0,0,0,24,18,0,0,0,23,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,36,0,0,0,0,0,23,0,17,0,0,9,0,0,0,0,0
T8-1-S,8,Control,Spat,2,36,0,24,59,0,0,28,0,0,0,0,26,0,143,35,0,0,19,132,142,0,251,0,19,79,69,0,0,0,0,0,54,0,187,0,0,110,42,0,12,58,0,0,45,14,0,0,14,0,53,0,0,48,0,0,19,22,60,15,0,45,62,0,78,47,0,70,0,0,0,0,49,0,37,79,0,64,0,31,18,0,0,0,34,6,58,0,11,0,47,0,0,0,0,0,56,30,0,52,30,0,61,0,38,0,41,0,0,0,29,0,0,69,0,0,0,0,0,47,0,0,0,0,28,0,0,0,158,0,0,0,0,33,26,0,0,0,0,3,0,29