Sample.ID,Treatment,Age,Family,Stage,ASV1,ASV3,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV21,ASV22,ASV23,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV51,ASV52,ASV53,ASV54,ASV55,ASV57,ASV59,ASV61,ASV62,ASV63,ASV64,ASV66,ASV67,ASV68,ASV69,ASV71,ASV73,ASV74,ASV75,ASV77,ASV78,ASV79,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV103,ASV104,ASV105,ASV106,ASV107,ASV109,ASV110,ASV111,ASV112,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV123,ASV125,ASV126,ASV128,ASV129,ASV130,ASV131,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV143,ASV145,ASV146,ASV147,ASV148,ASV149,ASV151,ASV152,ASV153,ASV155,ASV156,ASV157,ASV159,ASV160,ASV161,ASV162,ASV164,ASV166,ASV169,ASV171,ASV172,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV188,ASV189,ASV190,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV198,ASV200,ASV201,ASV202,ASV203,ASV204,ASV206,ASV207,ASV208,ASV209,ASV211,ASV214,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV228,ASV231,ASV232,ASV233,ASV234,ASV235,ASV236,ASV237,ASV239,ASV240,ASV241,ASV242,ASV243,ASV244,ASV245,ASV246,ASV248,ASV249,ASV250,ASV253,ASV254,ASV255,ASV256,ASV257,ASV258,ASV261,ASV262,ASV263,ASV264,ASV267,ASV268,ASV269,ASV270,ASV271,ASV272,ASV274,ASV275,ASV276,ASV277,ASV278,ASV279,ASV281,ASV282,ASV284,ASV286,ASV287,ASV288,ASV289,ASV290,ASV291,ASV292,ASV293,ASV294,ASV295,ASV297,ASV298,ASV299,ASV300,ASV301,ASV302,ASV303,ASV304,ASV305,ASV306,ASV307,ASV309,ASV310,ASV311,ASV312,ASV313,ASV314,ASV315,ASV316,ASV317,ASV318,ASV319,ASV320,ASV322,ASV323,ASV324,ASV325,ASV326,ASV327,ASV328,ASV329,ASV330,ASV332,ASV333,ASV334,ASV335,ASV336,ASV337,ASV338,ASV340,ASV341,ASV342,ASV343,ASV344,ASV345,ASV346,ASV347,ASV348,ASV350,ASV351,ASV353,ASV354,ASV355,ASV356,ASV357,ASV360,ASV362,ASV364,ASV365,ASV367,ASV368,ASV369,ASV371,ASV372,ASV373,ASV374,ASV375,ASV376,ASV377,ASV378,ASV379,ASV380,ASV381,ASV382,ASV383,ASV385,ASV386,ASV387,ASV389,ASV390,ASV393,ASV397,ASV398,ASV399,ASV400,ASV401,ASV402,ASV403,ASV404,ASV405,ASV406,ASV407,ASV408,ASV409,ASV410,ASV411,ASV412,ASV414,ASV417,ASV418,ASV420,ASV421,ASV422,ASV424,ASV426,ASV427,ASV428,ASV431,ASV432,ASV433,ASV435,ASV436,ASV437,ASV440,ASV441,ASV442,ASV443,ASV444,ASV445,ASV447,ASV450,ASV451,ASV453,ASV454,ASV455,ASV456,ASV457,ASV459,ASV461,ASV462,ASV464,ASV466,ASV467,ASV468,ASV471,ASV472,ASV474,ASV475,ASV477,ASV478,ASV479,ASV480,ASV481,ASV482,ASV483,ASV484,ASV485,ASV486,ASV487,ASV490,ASV492,ASV493
T1-1,Control,Day 01,1,Larvae,709,322,0,17,164,117,96,27,27,0,52,0,143,0,81,70,0,0,24,37,26,0,90,0,0,97,0,62,0,21,19,0,0,0,0,111,36,46,35,0,0,40,0,13,0,20,0,0,21,0,0,0,15,5,19,18,0,16,28,0,0,33,0,0,0,22,36,0,56,0,18,32,17,45,0,0,53,0,12,0,0,5,0,13,0,0,0,0,0,0,19,24,29,25,0,25,3,16,0,40,14,0,13,10,0,0,36,29,0,0,40,0,0,14,23,22,0,14,13,10,0,0,24,0,15,0,0,0,18,0,0,0,6,9,0,0,20,0,22,19,16,13,0,13,18,0,0,0,0,0,7,0,0,12,0,0,0,0,0,25,12,0,2,0,0,9,17,0,0,16,11,0,0,0,0,0,0,0,7,0,17,0,22,0,7,21,0,0,0,5,0,21,9,0,0,15,13,0,0,12,14,97,17,0,0,0,0,8,4,0,13,0,0,12,18,21,0,0,0,24,0,0,20,0,0,0,0,4,0,0,0,5,0,11,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,14,0,15,0,15,0,23,0,6,0,0,5,30,14,0,0,0,0,0,0,0,8,0,12,13,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,0,29,0,0,0,0,0,0,0,15,0,0,4,4,23,0,0,18,22,0,14,0,0,0,13,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,0,0,0,0,12,0,0,0,0,0,0,15,18,0,2,2,0,0,0,24,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
T1-15,Control,Day 15,1,Larvae,864,454,0,0,160,179,120,32,17,0,42,0,55,0,0,148,0,0,140,22,0,0,0,0,0,77,0,133,0,81,12,0,13,0,0,25,33,23,0,0,0,0,0,40,0,24,0,0,40,0,0,0,49,0,0,74,0,8,61,0,0,15,9,23,0,25,11,0,71,0,48,0,0,17,0,0,116,0,21,0,0,0,0,10,0,0,0,0,0,0,31,19,20,38,0,0,140,29,0,0,34,0,15,0,0,0,0,170,0,0,19,0,0,1,0,0,0,0,66,41,0,3,0,0,15,0,0,0,0,0,0,0,0,22,0,0,0,0,0,24,0,11,0,0,21,0,12,13,66,0,0,0,0,0,0,0,0,0,0,34,20,0,32,0,0,0,5,0,0,0,13,0,0,30,11,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,18,83,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1-3,Control,Day 03,1,Larvae,792,440,0,33,1434,388,30,7,32,0,46,0,45,28,24,0,0,0,0,16,0,0,28,0,0,664,0,4,0,0,65,0,0,0,0,21,4,11,17,0,0,0,0,12,0,23,0,0,11,0,0,0,0,0,3,0,9,0,0,0,47,0,0,0,0,5,0,0,0,6,45,0,0,0,0,0,0,0,14,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,7,0,9,0,0,0,0,0,29,0,0,1,0,14,0,0,1,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,19,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,28,0,0,9,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
T1-6,Control,Day 06,1,Larvae,1309,605,0,66,62,194,120,0,77,0,50,0,52,37,21,0,0,0,178,47,0,0,0,11,0,22,0,39,25,98,57,23,31,0,0,17,28,28,0,0,0,0,0,29,0,19,0,0,38,0,0,0,92,0,3,12,0,16,18,0,494,21,0,32,0,15,23,0,21,0,18,0,0,0,0,0,0,0,18,0,0,0,0,33,0,24,0,0,0,0,6,14,22,1,0,18,0,33,0,19,0,0,2,15,25,7,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,23,0,0,25,0,0,0,0,0,24,0,0,0,0,11,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,5,0,0,0,0
T1-S-1,Control,Spat,1,Spat,98,45,466,0,14,0,29,141,0,248,0,124,0,0,0,12,169,155,0,0,0,73,0,70,70,4,40,4,0,8,6,0,0,88,11,5,0,0,0,33,66,0,34,12,93,0,40,124,0,0,66,46,0,0,0,14,44,1,18,112,0,0,51,6,37,0,11,119,0,18,5,1,0,0,0,43,3,16,6,24,0,0,31,9,37,0,25,28,24,0,0,0,8,11,35,0,0,0,13,0,0,9,0,0,0,0,2,0,0,34,0,0,17,0,0,0,24,0,0,0,35,21,0,28,1,0,51,25,0,41,0,25,0,0,21,14,0,16,0,0,0,0,9,0,0,0,0,0,0,10,0,15,16,0,8,17,23,0,9,0,0,0,0,21,0,7,0,0,3,0,0,9,8,0,17,0,14,10,0,7,0,25,0,19,3,0,26,0,10,14,0,0,4,9,12,0,0,11,0,0,0,3,4,0,0,0,18,16,15,3,0,0,0,0,0,0,0,9,18,0,5,0,0,4,17,9,6,18,0,8,17,0,8,0,0,0,0,5,0,17,0,0,0,4,10,10,16,10,0,0,15,0,0,0,0,5,0,0,0,0,9,13,1,0,0,14,5,2,0,6,0,13,5,17,0,4,0,8,0,6,0,0,0,10,0,0,10,0,9,11,13,0,0,12,0,0,0,0,5,0,9,0,0,10,0,18,0,0,20,0,1,0,0,0,5,0,0,0,0,6,9,11,7,0,0,0,12,9,8,20,11,0,9,0,10,5,0,0,0,0,10,0,0,17,0,0,13,0,16,0,10,0,0,0,0,0,0,17,0,1,0,12,3,0,10,0,6,0,0,8,21,12,4,0,0,0,0,0,0,0,10,17,6
T1-S-2,Control,Spat,1,Spat,123,65,303,10,30,16,57,159,4,185,0,185,0,0,4,16,187,79,0,0,0,24,0,70,118,0,67,24,0,12,0,0,17,93,0,10,0,0,0,30,90,0,41,6,65,0,21,151,0,0,72,64,0,0,24,0,37,0,0,233,0,0,14,32,36,0,0,46,0,28,0,0,0,0,0,30,0,45,20,40,0,0,42,0,17,0,26,33,29,0,0,0,0,21,31,0,0,0,20,0,0,25,4,0,0,0,0,0,0,31,0,0,34,0,0,0,22,0,0,0,22,19,0,18,0,0,124,0,0,17,6,22,29,4,43,20,0,11,0,0,0,0,22,0,0,0,0,0,0,34,0,25,18,0,0,9,7,16,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,17,0,0,0,12,0,0,12,0,18,0,21,13,0,0,0,0,18,0,11,15,0,0,5,0,0,0,0,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,15,19,14,18,0,9,0,0,27,0,0,0,0,11,0,32,0,21,9,0,24,3,28,8,22,0,14,0,0,0,0,10,0,0,0,0,0,25,0,0,0,10,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,4,0,2,0,8,0,36,0,0,0,0,0,0,0,17,0,15,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,8,0,12,14,0,0,0,0,6,0,0,0,0,0,12,0,14,0,1,0,0,0,0,0,6,0,0,2,0,8,3,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,8,0
T13-1,Control,Day 01,3,Larvae,69,43,0,0,75,61,62,34,52,0,70,0,138,0,104,21,0,0,0,107,79,0,130,0,0,31,0,67,0,8,40,0,0,0,0,171,51,74,132,34,0,40,0,0,0,40,0,12,0,0,0,0,0,48,22,0,0,33,0,0,0,45,0,0,0,47,39,0,131,0,13,79,0,92,0,0,0,0,0,0,0,21,0,38,0,0,0,0,0,0,0,29,8,0,0,28,0,0,0,164,33,0,10,0,47,0,133,0,41,0,76,0,0,34,56,0,0,0,0,0,0,0,0,0,10,0,0,0,43,0,0,0,0,0,0,0,22,0,80,0,37,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,61,115,0,0,54,0,0,0,8,55,0,0,0,0,0,0,28,0,0,59,0,0,0,0,24,30,0,0,0,56,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,29,0,0,0,0,0,0,0,0,0,0,85,0,0,0,22,0,0,48,0,0,0,0,0,8,54,81,0,0,0,0,0,40,0,47,0,22,38,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,14,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
T13-15,Control,Day 15,3,Larvae,1180,565,0,10,26,54,113,49,34,0,64,0,111,0,0,234,0,0,26,26,0,0,0,23,0,0,0,143,0,50,0,0,25,0,0,19,15,76,27,6,0,0,0,53,0,24,0,0,42,0,0,0,0,0,41,84,0,0,121,0,0,0,0,0,0,32,0,0,50,0,38,0,0,12,0,0,121,0,7,0,0,0,0,0,0,0,0,0,0,0,46,13,28,33,0,0,83,22,0,0,9,0,12,0,0,0,0,27,8,0,0,0,0,0,0,0,0,0,25,28,0,12,39,0,9,0,0,0,0,0,0,0,0,28,0,0,0,38,0,35,0,7,0,45,23,11,20,0,0,0,0,0,0,0,0,0,0,0,0,20,39,0,62,0,0,6,9,0,47,16,6,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,36,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,9,14,0,0,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,0,0,0,0,10,0,0,0,0,0,0,0,0,5,22,0,0,0
T13-2-2,Control,Spat,3,Spat,124,80,384,15,14,18,33,131,7,203,9,133,0,0,0,24,230,180,0,0,0,305,0,87,41,0,67,19,0,4,0,0,0,116,0,0,0,38,7,44,136,0,100,0,60,0,156,16,0,0,42,44,0,0,13,0,48,0,0,0,0,0,26,32,46,0,9,34,0,28,0,0,0,0,0,60,0,27,0,51,0,0,28,9,42,0,34,25,33,0,0,0,0,8,36,0,0,0,50,0,0,36,2,0,0,0,0,0,0,21,0,0,29,0,0,0,22,0,0,0,44,23,0,0,0,0,0,0,0,0,18,13,48,5,24,40,0,0,0,0,0,0,39,0,0,0,0,0,0,21,0,11,0,0,16,12,17,0,12,0,0,0,0,0,35,0,0,0,0,0,0,19,17,0,0,0,28,30,0,0,0,20,0,26,0,0,13,0,3,0,0,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,5,24,0,10,0,0,0,5,0,0,0,0,17,0,16,0,0,14,12,12,18,0,0,0,0,0,8,0,0,0,3,0,0,0,0,32,20,0,0,11,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,50,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,7,4,0,19,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,11,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,11,5,0,0,0,0,0,10,0,0,6,3,0,0,0,0,0,0,0,0,0,0
T13-3,Control,Day 03,3,Larvae,871,392,0,66,27,98,40,35,259,0,42,0,43,42,11,18,0,0,0,77,8,0,65,0,0,0,0,0,0,0,144,151,7,0,0,0,76,53,0,0,0,0,0,56,0,78,0,0,65,0,0,0,0,0,24,6,0,68,15,0,0,18,0,36,0,34,39,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,9,0,42,0,0,31,0,2,0,0,0,0,41,25,0,58,0,0,31,0,0,0,0,56,21,107,0,59,0,0,0,10,0,0,68,0,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,43,0,38,27,36,28,19,34,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,17,0,0,18,0,22,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,11,0,0,0,0,0,0,0,0,18,0,27,0,0,21,0,0,0,0,0,19,0,0,0,0,7,0,0,0,9,0,15,0,0,0,0,0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,42,0,0,0,24,0,16,0,12,0,0,39,0,0,0,0,0,0,0,0,0,0,0,28,0,71,0,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,21,0,19,0,0,0,0,0,0,0,0,0,11,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,18,29,0,0,0
T13-6,Control,Day 06,3,Larvae,524,239,0,30,30,24,94,18,121,0,73,0,46,0,0,38,0,0,66,143,0,0,8,0,0,0,0,30,731,114,10,58,15,0,0,0,95,46,28,0,0,15,0,41,0,62,0,0,47,0,0,0,35,0,11,40,0,69,16,0,27,80,0,31,0,38,16,0,20,0,23,0,0,0,354,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,24,5,0,3,0,56,0,66,0,0,19,0,37,68,0,1,0,10,42,0,0,0,0,37,0,0,0,55,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,39,0,0,0,0,8,0,0,0,0,5,12,0,0,0,0,0,29,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,25,9,0,0,27,31,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,40,0,0,11,0,0,27,0,18,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,22,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,18,9,0,5,0,15,0,0,0,0,0,0,0,43,0,0,12,0,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,23,0,0,0,0,0,0,0
